datetime,time,value,date,day_of_week
2023-01-01 00:00:00,00:00:00,2377.87,2023-01-01,7
2023-01-01 01:00:00,01:00:00,2076.19,2023-01-01,7
2023-01-01 02:00:00,02:00:00,1902.06,2023-01-01,7
2023-01-01 03:00:00,03:00:00,1818.44,2023-01-01,7
2023-01-01 04:00:00,04:00:00,1813.98,2023-01-01,7
2023-01-01 05:00:00,05:00:00,1957.89,2023-01-01,7
2023-01-01 06:00:00,06:00:00,2356.66,2023-01-01,7
2023-01-01 07:00:00,07:00:00,2917.52,2023-01-01,7
2023-01-01 08:00:00,08:00:00,3656.29,2023-01-01,7
2023-01-01 09:00:00,09:00:00,4095.64,2023-01-01,7
2023-01-01 10:00:00,10:00:00,4525.75,2023-01-01,7
2023-01-01 11:00:00,11:00:00,4589.39,2023-01-01,7
2023-01-01 12:00:00,12:00:00,4311.99,2023-01-01,7
2023-01-01 13:00:00,13:00:00,3902.78,2023-01-01,7
2023-01-01 14:00:00,14:00:00,3459.54,2023-01-01,7
2023-01-01 15:00:00,15:00:00,3249.04,2023-01-01,7
2023-01-01 16:00:00,16:00:00,3009.67,2023-01-01,7
2023-01-01 17:00:00,17:00:00,3074.08,2023-01-01,7
2023-01-01 18:00:00,18:00:00,3335.65,2023-01-01,7
2023-01-01 19:00:00,19:00:00,3331.68,2023-01-01,7
2023-01-01 20:00:00,20:00:00,3210.69,2023-01-01,7
2023-01-01 21:00:00,21:00:00,3098.42,2023-01-01,7
2023-01-01 22:00:00,22:00:00,2936.74,2023-01-01,7
2023-01-01 23:00:00,23:00:00,2576.93,2023-01-01,7
2023-01-02 00:00:00,00:00:00,2207.84,2023-01-02,1
2023-01-02 01:00:00,01:00:00,1911.13,2023-01-02,1
2023-01-02 02:00:00,02:00:00,1777.04,2023-01-02,1
2023-01-02 03:00:00,03:00:00,1711.53,2023-01-02,1
2023-01-02 04:00:00,04:00:00,1740.17,2023-01-02,1
2023-01-02 05:00:00,05:00:00,1879.82,2023-01-02,1
2023-01-02 06:00:00,06:00:00,2366.22,2023-01-02,1
2023-01-02 07:00:00,07:00:00,3108.84,2023-01-02,1
2023-01-02 08:00:00,08:00:00,3913.09,2023-01-02,1
2023-01-02 09:00:00,09:00:00,4181.69,2023-01-02,1
2023-01-02 10:00:00,10:00:00,4581.77,2023-01-02,1
2023-01-02 11:00:00,11:00:00,4571.33,2023-01-02,1
2023-01-02 12:00:00,12:00:00,4354.42,2023-01-02,1
2023-01-02 13:00:00,13:00:00,4045.09,2023-01-02,1
2023-01-02 14:00:00,14:00:00,3810.31,2023-01-02,1
2023-01-02 15:00:00,15:00:00,3731.36,2023-01-02,1
2023-01-02 16:00:00,15:45:00,3597.6,2023-01-02,1
2023-01-02 17:00:00,15:45:00,3597.6,2023-01-02,1
2023-01-02 18:00:00,15:45:00,3597.6,2023-01-02,1
2023-01-02 19:00:00,15:45:00,3597.6,2023-01-02,1
2023-01-02 20:00:00,15:45:00,3597.6,2023-01-02,1
2023-01-02 21:00:00,15:45:00,3597.6,2023-01-02,1
2023-01-02 22:00:00,15:45:00,3597.6,2023-01-02,1
2023-01-02 23:00:00,15:45:00,3597.6,2023-01-02,1
2023-01-03 00:00:00,00:00:00,2331.98,2023-01-03,2
2023-01-03 01:00:00,01:00:00,2057.55,2023-01-03,2
2023-01-03 02:00:00,02:00:00,1902.96,2023-01-03,2
2023-01-03 03:00:00,03:00:00,1828.35,2023-01-03,2
2023-01-03 04:00:00,04:00:00,1839.62,2023-01-03,2
2023-01-03 05:00:00,05:00:00,2011.13,2023-01-03,2
2023-01-03 06:00:00,06:00:00,2512.68,2023-01-03,2
2023-01-03 07:00:00,07:00:00,3245.05,2023-01-03,2
2023-01-03 08:00:00,08:00:00,4020.22,2023-01-03,2
2023-01-03 09:00:00,09:00:00,4307.36,2023-01-03,2
2023-01-03 10:00:00,10:00:00,4654.08,2023-01-03,2
2023-01-03 11:00:00,11:00:00,4826.4,2023-01-03,2
2023-01-03 12:00:00,12:00:00,4573.38,2023-01-03,2
2023-01-03 13:00:00,13:00:00,4221.54,2023-01-03,2
2023-01-03 14:00:00,14:00:00,3693.84,2023-01-03,2
2023-01-03 15:00:00,15:00:00,3852.94,2023-01-03,2
2023-01-03 16:00:00,16:00:00,3704.22,2023-01-03,2
2023-01-03 17:00:00,17:00:00,3765.18,2023-01-03,2
2023-01-03 18:00:00,18:00:00,4042.08,2023-01-03,2
2023-01-03 19:00:00,19:00:00,4057.34,2023-01-03,2
2023-01-03 20:00:00,20:00:00,3898.03,2023-01-03,2
2023-01-03 21:00:00,21:00:00,3610.83,2023-01-03,2
2023-01-03 22:00:00,22:00:00,3383.09,2023-01-03,2
2023-01-03 23:00:00,23:00:00,2925.82,2023-01-03,2
2023-01-04 00:00:00,00:00:00,2439.32,2023-01-04,3
2023-01-04 01:00:00,01:00:00,2120.17,2023-01-04,3
2023-01-04 02:00:00,02:00:00,1953.12,2023-01-04,3
2023-01-04 03:00:00,03:00:00,1881.76,2023-01-04,3
2023-01-04 04:00:00,04:00:00,1891.74,2023-01-04,3
